scenario_type,speaker_pool,speaker_count,quality_label,quality_floor,duration_ceiling,clips,hours,pct_total_hours,selected_speakers,mean_quality,p10_quality,mean_duration,top1_hours_share,top5_hours_share,hours_per_speaker_mean,hours_gap_to_target,word_tokens,word_types
top_n_expansion,top_40,40,p40,66.37197875976562,25.0,8131,39.777,50.7,39,75.78,69.01,17.61,0.172,0.524,1.02,0.223,179720,27394
top_n_expansion,top_30,30,p40,66.37197875976562,25.0,7835,38.362,48.9,30,75.96,69.23,17.63,0.179,0.544,1.279,1.638,173350,26334
top_n_expansion,top_40,40,p50,70.71746826171875,25.0,6767,33.169,42.3,37,77.23,72.25,17.65,0.186,0.576,0.896,6.831,148183,23392
top_n_expansion,top_20,20,p40,66.37197875976562,25.0,6726,33.107,42.2,20,75.33,69.34,17.72,0.207,0.63,1.655,6.893,149315,23195
top_n_expansion,top_30,30,p50,70.71746826171875,25.0,6618,32.438,41.3,30,77.31,72.27,17.65,0.191,0.589,1.081,7.562,144862,22740
fixed_speaker_pool,primary_plus_conditional,15,p40,66.37197875976562,25.0,5688,28.56,36.4,15,75.13,69.66,18.08,0.24,0.73,1.904,11.44,129449,20871
top_n_expansion,top_40,40,p40,66.37197875976562,20.0,6256,28.255,36.0,39,75.83,68.96,16.26,0.223,0.492,0.724,11.745,127646,21976
top_n_expansion,top_20,20,p50,70.71746826171875,25.0,5704,28.197,35.9,20,76.53,72.2,17.8,0.219,0.678,1.41,11.803,125495,20247
top_n_expansion,top_30,30,p40,66.37197875976562,20.0,6023,27.232,34.7,30,76.01,69.14,16.28,0.231,0.51,0.908,12.768,122855,21077
top_n_expansion,top_40,40,p60,73.24201202392578,25.0,5391,26.419,33.7,34,78.53,74.08,17.64,0.17,0.581,0.777,13.581,115980,20027
top_n_expansion,top_30,30,p60,73.24201202392578,25.0,5295,25.959,33.1,29,78.6,74.1,17.65,0.173,0.591,0.895,14.041,113782,19546
fixed_speaker_pool,primary_plus_conditional,15,p50,70.71746826171875,25.0,4892,24.684,31.4,15,76.18,72.18,18.16,0.25,0.775,1.646,15.316,110078,18294
top_n_expansion,top_40,40,p50,70.71746826171875,20.0,5180,23.422,29.8,37,77.34,72.23,16.28,0.241,0.541,0.633,16.578,104460,18744
top_n_expansion,top_20,20,p40,66.37197875976562,20.0,5138,23.344,29.7,20,75.23,69.14,16.36,0.27,0.595,1.167,16.656,105263,18538
top_n_expansion,top_30,30,p50,70.71746826171875,20.0,5064,22.897,29.2,30,77.42,72.24,16.28,0.247,0.553,0.763,17.103,101930,18191
top_n_expansion,top_20,20,p60,73.24201202392578,25.0,4467,22.17,28.2,19,77.74,74.02,17.87,0.203,0.692,1.167,17.83,96509,17207
top_n_expansion,top_40,40,p70,75.22232818603516,25.0,4041,19.695,25.1,31,79.97,75.87,17.55,0.123,0.523,0.635,20.305,85510,16499
top_n_expansion,top_20,20,p50,70.71746826171875,20.0,4305,19.6,25.0,20,76.51,72.15,16.39,0.289,0.646,0.98,20.4,87078,16085
top_n_expansion,top_30,30,p70,75.22232818603516,25.0,4015,19.567,24.9,26,79.99,75.87,17.54,0.124,0.526,0.753,20.433,84951,16376
fixed_speaker_pool,primary_plus_conditional,15,p40,66.37197875976562,20.0,4183,19.294,24.6,15,74.95,69.44,16.6,0.326,0.712,1.286,20.706,87687,16222
fixed_speaker_pool,primary_plus_conditional,15,p60,73.24201202392578,25.0,3777,19.191,24.4,14,77.36,73.95,18.29,0.234,0.8,1.371,20.809,83425,15408
top_n_expansion,top_40,40,p60,73.24201202392578,20.0,4091,18.439,23.5,33,78.72,74.06,16.23,0.221,0.543,0.559,21.561,80389,15877
top_n_expansion,top_30,30,p60,73.24201202392578,20.0,4010,18.074,23.0,28,78.81,74.09,16.23,0.225,0.554,0.646,21.926,78565,15424
fixed_speaker_pool,primary_plus_conditional,15,p50,70.71746826171875,20.0,3558,16.474,21.0,15,76.05,72.13,16.67,0.343,0.759,1.098,23.526,73451,14144
fixed_speaker_pool,primary_only,8,p40,66.37197875976562,25.0,3322,16.318,20.8,8,74.8,69.92,17.68,0.42,0.922,2.04,23.682,74098,13285
top_n_expansion,top_20,20,p70,75.22232818603516,25.0,3248,16.085,20.5,18,79.05,75.76,17.83,0.151,0.64,0.894,23.915,69003,14040
top_n_expansion,top_20,20,p60,73.24201202392578,20.0,3314,15.081,19.2,19,77.81,74.01,16.38,0.27,0.664,0.794,24.919,65136,13390
fixed_speaker_pool,primary_only,8,p50,70.71746826171875,25.0,2896,14.279,18.2,8,75.7,72.03,17.75,0.433,0.959,1.785,25.721,63689,11707
top_n_expansion,top_40,40,p70,75.22232818603516,20.0,3084,13.816,17.6,30,80.19,75.9,16.13,0.152,0.498,0.461,26.184,59443,13031
top_n_expansion,top_30,30,p70,75.22232818603516,20.0,3065,13.734,17.5,26,80.21,75.92,16.13,0.153,0.501,0.528,26.266,59045,12933
fixed_speaker_pool,primary_plus_conditional,15,p70,75.22232818603516,25.0,2643,13.473,17.2,13,78.69,75.7,18.35,0.18,0.764,1.036,26.527,57605,12347
fixed_speaker_pool,primary_plus_conditional,15,p60,73.24201202392578,20.0,2677,12.419,15.8,14,77.32,73.89,16.7,0.328,0.786,0.887,27.581,53544,11599
fixed_speaker_pool,primary_only,8,p40,66.37197875976562,20.0,2666,12.295,15.7,8,74.5,69.76,16.6,0.512,0.936,1.537,27.705,57075,11285
top_n_expansion,top_20,20,p70,75.22232818603516,20.0,2412,10.941,13.9,18,79.14,75.81,16.33,0.192,0.629,0.608,29.059,46455,10887
fixed_speaker_pool,primary_only,8,p50,70.71746826171875,20.0,2301,10.629,13.5,8,75.41,71.93,16.63,0.532,0.959,1.329,29.371,48572,9945
fixed_speaker_pool,primary_only,8,p60,73.24201202392578,25.0,2097,10.471,13.3,8,77.03,73.82,17.98,0.43,0.973,1.309,29.529,44903,9314
fixed_speaker_pool,primary_plus_conditional,15,p70,75.22232818603516,20.0,1851,8.593,10.9,13,78.7,75.72,16.71,0.244,0.77,0.661,31.407,36289,9181
fixed_speaker_pool,primary_only,8,p60,73.24201202392578,20.0,1598,7.403,9.4,8,76.82,73.75,16.68,0.55,0.978,0.925,32.597,32392,7634
fixed_speaker_pool,primary_only,8,p70,75.22232818603516,25.0,1364,6.905,8.8,8,78.53,75.65,18.22,0.339,0.979,0.863,33.095,28647,7006
fixed_speaker_pool,primary_only,8,p70,75.22232818603516,20.0,995,4.631,5.9,8,78.39,75.6,16.75,0.454,0.986,0.579,35.369,19528,5531
